"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 12일","10,100","9,790","10,200","9,730","1.19M","4.12%"
"2019년 11월 11일","9,700","9,710","9,890","9,620","13.62K","0.62%"
"2019년 11월 08일","9,640","9,660","9,830","9,620","28.14K","-0.52%"
"2019년 11월 07일","9,690","9,700","9,790","9,650","6.32K","0.31%"
"2019년 11월 06일","9,660","9,700","9,720","9,650","3.86K","-0.41%"
"2019년 11월 05일","9,700","9,800","9,800","9,610","6.36K","-0.61%"
"2019년 11월 04일","9,760","9,790","9,800","9,740","7.32K","0.10%"
"2019년 11월 01일","9,750","9,780","9,780","9,620","6.47K","0.21%"
"2019년 10월 31일","9,730","9,750","9,750","9,640","10.71K","0.31%"
"2019년 10월 30일","9,700","9,720","9,760","9,610","6.18K","0.21%"
"2019년 10월 29일","9,680","9,730","9,770","9,610","18.13K","0.00%"
"2019년 10월 28일","9,680","9,760","9,810","9,650","15.89K","-0.51%"
"2019년 10월 25일","9,730","9,750","9,760","9,610","13.45K","-0.21%"
"2019년 10월 24일","9,750","9,830","9,850","9,560","23.50K","-0.41%"
"2019년 10월 23일","9,790","10,050","10,050","9,680","33.52K","-1.61%"
"2019년 10월 22일","9,950","10,300","10,300","9,920","33.83K","-2.45%"
"2019년 10월 21일","10,200","10,200","10,500","10,100","11.69K","-0.49%"
"2019년 10월 18일","10,250","10,200","10,450","10,150","58.41K","0.49%"
"2019년 10월 17일","10,200","10,100","10,350","9,950","17.08K","0.49%"
"2019년 10월 16일","10,150","9,920","10,300","9,870","16.31K","2.84%"
"2019년 10월 15일","9,870","9,950","10,050","9,860","6.12K","-1.30%"
"2019년 10월 14일","10,000","9,760","10,050","9,630","27.32K","4.17%"
"2019년 10월 11일","9,600","9,550","9,660","9,400","10.16K","1.91%"
"2019년 10월 10일","9,420","9,530","9,530","9,400","14.64K","-1.15%"
"2019년 10월 08일","9,530","9,640","9,660","9,500","11.89K","-0.21%"
"2019년 10월 07일","9,550","9,600","9,630","9,360","21.60K","-0.52%"
"2019년 10월 04일","9,600","9,690","9,750","9,380","41.25K","-1.13%"
"2019년 10월 03일","9,710","9,710","9,710","9,710","-","0.00%"
"2019년 10월 02일","9,710","9,650","9,830","9,610","14.29K","-0.92%"
"2019년 10월 01일","9,800","9,790","9,840","9,600","19.09K","0.31%"
"2019년 09월 30일","9,770","9,860","9,960","9,620","27.03K","-0.91%"
"2019년 09월 27일","9,860","10,050","10,050","9,860","7.73K","-1.20%"
"2019년 09월 26일","9,980","10,050","10,200","9,970","9.17K","0.00%"
"2019년 09월 25일","9,980","10,250","10,250","9,980","15.43K","-2.16%"
"2019년 09월 24일","10,200","10,250","10,250","10,050","16.90K","0.49%"
"2019년 09월 23일","10,150","10,200","10,250","10,100","11.40K","0.00%"
"2019년 09월 20일","10,150","10,400","10,400","10,100","50.22K","-0.98%"
"2019년 09월 19일","10,250","10,450","10,500","10,150","25.47K","-2.84%"
"2019년 09월 18일","10,550","10,600","10,650","10,500","3.99K","0.48%"
"2019년 09월 17일","10,500","10,500","10,850","10,350","23.57K","0.48%"
"2019년 09월 16일","10,450","10,350","10,550","10,250","8.58K","1.46%"
"2019년 09월 11일","10,300","10,300","10,400","10,150","11.06K","0.49%"
"2019년 09월 10일","10,250","10,000","10,500","10,000","33.96K","3.22%"
"2019년 09월 09일","9,930","9,950","10,050","9,920","13.64K","0.00%"
"2019년 09월 06일","9,930","9,890","10,000","9,890","7.44K","0.40%"
"2019년 09월 05일","9,890","9,990","10,000","9,860","31.07K","0.20%"
"2019년 09월 04일","9,870","9,990","10,100","9,870","9.15K","0.00%"
"2019년 09월 03일","9,870","10,050","10,050","9,860","14.39K","-1.30%"
"2019년 09월 02일","10,000","10,050","10,100","9,970","6.58K","-0.99%"
"2019년 08월 30일","10,100","10,000","10,250","9,990","27.50K","0.50%"
